# Column 1: Score
# Column 2: Roll
# Column 3: Best Action
1000 66 0.0 failed
1000 25 1000.0 select-5-end
1000 26 0.0 failed
1000 122366 1000.0 select-1-end
1000 455 1000.0 select-55-end
1000 266666 0.0 failed
1000 456 1000.0 select-5-end
1000 11344 1000.0 select-11-end
1000 333555 1000.0 select-555333-end
1000 144 1000.0 select-1-end
1000 11345 1000.0 select-115-end
1000 333556 1000.0 select-55333-end
1000 145 1000.0 select-15-end
1000 4555 1000.0 select-555-end
1000 11346 1000.0 select-11-end
1000 146 1000.0 select-1-end
1000 4556 1000.0 select-55-end
1000 222333 0.0 failed
1000 222334 0.0 failed
1000 222335 1000.0 select-5222-end
1000 222336 0.0 failed
1000 44466 0.0 failed
1000 455555 1000.0 select-55555-end
1000 455556 1000.0 select-5555-end
1000 1366 1000.0 select-1-end
1000 112233 1000.0 select-11-end
1000 112234 1000.0 select-11-end
1000 112235 1000.0 select-115-end
1000 112236 1000.0 select-11-end
1000 55555 1000.0 select-55555-end
1000 145666 1000.0 select-15666-end
1000 55556 1000.0 select-5555-end
1000 33566 1000.0 select-5-end
1000 555566 1000.0 select-5555-end
1000 123366 1000.0 select-1-end
1000 124444 1000.0 select-14444-end
1000 124445 1000.0 select-15444-end
1000 124446 1000.0 select-1444-end
1000 12344 1000.0 select-1-end
1000 334555 1000.0 select-555-end
1000 12345 1000.0 select-15-end
1000 334556 1000.0 select-55-end
1000 12346 1000.0 select-1-end
1000 5555 1000.0 select-5555-end
1000 5556 1000.0 select-555-end
1000 223333 0.0 failed
1000 223334 0.0 failed
1000 223335 1000.0 select-5333-end
1000 223336 0.0 failed
1000 224455 1000.0 select-55-end
1000 224456 1000.0 select-5-end
1000 2366 0.0 failed
1000 666666 0.0 failed
1000 146666 1000.0 select-16666-end
1000 13344 1000.0 select-1-end
1000 335555 1000.0 select-5555-end
1000 13345 1000.0 select-15-end
1000 335556 1000.0 select-555-end
1000 13346 1000.0 select-1-end
1000 3366 0.0 failed
1000 25555 1000.0 select-5555-end
1000 111666 1000.0 select-111666-end
1000 25556 1000.0 select-555-end
1000 133344 1000.0 select-1333-end
1000 133345 1000.0 select-15333-end
1000 133346 1000.0 select-1333-end
1000 111355 1000.0 select-55111-end
1000 111356 1000.0 select-5111-end
1000 233666 0.0 failed
1000 233355 1000.0 select-55333-end
1000 122444 1000.0 select-1444-end
1000 233356 1000.0 select-5333-end
1000 122445 1000.0 select-15-end
1000 122446 1000.0 select-1-end
1000 355666 1000.0 select-55666-end
1000 222 0.0 failed
1000 223 0.0 failed
1000 224 0.0 failed
1000 11466 1000.0 select-11-end
1000 11111 1000.0 select-11111-end
1000 266 0.0 failed
1000 225 1000.0 select-5-end
1000 244444 0.0 failed
1000 11112 1000.0 select-1111-end
1000 226 0.0 failed
1000 244445 1000.0 select-54444-end
1000 11113 1000.0 select-1111-end
1000 244446 0.0 failed
1000 11114 1000.0 select-1111-end
1000 11155 1000.0 select-55111-end
1000 333366 0.0 failed
1000 222455 1000.0 select-55222-end
1000 11156 1000.0 select-5111-end
1000 11115 1000.0 select-51111-end
1000 222456 1000.0 select-5222-end
1000 11116 1000.0 select-1111-end
1000 1444 1000.0 select-1444-end
1000 1445 1000.0 select-15-end
1000 22555 1000.0 select-555-end
1000 116666 1000.0 select-116666-end
1000 112666 1000.0 select-11666-end
1000 1446 1000.0 select-1-end
1000 22556 1000.0 select-55-end
1000 1133 1000.0 select-11-end
1000 1134 1000.0 select-11-end
1000 22244 0.0 failed
1000 344455 1000.0 select-55444-end
1000 112355 1000.0 select-1155-end
1000 1135 1000.0 select-115-end
1000 22245 1000.0 select-5222-end
1000 344456 1000.0 select-5444-end
1000 112356 1000.0 select-115-end
1000 1136 1000.0 select-11-end
1000 22246 0.0 failed
1000 234666 0.0 failed
1000 33333 0.0 failed
1000 123444 1000.0 select-1444-end
1000 33334 0.0 failed
1000 123445 1000.0 select-15-end
1000 33335 1000.0 select-53333-end
1000 123446 1000.0 select-1-end
1000 33336 0.0 failed
1000 444466 0.0 failed
1000 34455 1000.0 select-55-end
1000 356666 1000.0 select-56666-end
1000 124566 1000.0 select-15-end
1000 34456 1000.0 select-5-end
1000 12466 1000.0 select-1-end
1000 223455 1000.0 select-55-end
1000 223456 1000.0 select-5-end
1000 2444 0.0 failed
1000 23555 1000.0 select-555-end
1000 2445 1000.0 select-5-end
1000 113666 1000.0 select-11666-end
1000 23556 1000.0 select-55-end
1000 2446 0.0 failed
1000 113355 1000.0 select-1155-end
1000 113356 1000.0 select-115-end
1000 235666 1000.0 select-5666-end
1000 125566 1000.0 select-155-end
1000 13466 1000.0 select-1-end
1000 3444 0.0 failed
1000 24555 1000.0 select-555-end
1000 3445 1000.0 select-5-end
1000 114666 1000.0 select-11666-end
1000 24556 1000.0 select-55-end
1000 3446 0.0 failed
1000 133466 1000.0 select-1-end
1000 236666 0.0 failed
1000 111122 1000.0 select-1111-end
1000 111123 1000.0 select-1111-end
1000 111124 1000.0 select-1111-end
1000 111166 1000.0 select-1111-end
1000 111125 1000.0 select-51111-end
1000 144555 1000.0 select-1555-end
1000 111126 1000.0 select-1111-end
1000 144556 1000.0 select-155-end
1000 122566 1000.0 select-15-end
1000 14466 1000.0 select-1-end
1000 122255 1000.0 select-155222-end
1000 344 0.0 failed
1000 122256 1000.0 select-15222-end
1000 345 1000.0 select-5-end
1000 346 0.0 failed
1000 11233 1000.0 select-11-end
1000 333444 0.0 failed
1000 244566 1000.0 select-5-end
1000 11234 1000.0 select-11-end
1000 333445 1000.0 select-5333-end
1000 4444 0.0 failed
1000 11235 1000.0 select-115-end
1000 333446 0.0 failed
1000 4445 1000.0 select-5444-end
1000 11236 1000.0 select-11-end
1000 115666 1000.0 select-115666-end
1000 44666 0.0 failed
1000 4446 0.0 failed
1000 222222 0.0 failed
1000 222223 0.0 failed
1000 1566 1000.0 select-15-end
1000 222224 0.0 failed
1000 222266 0.0 failed
1000 222225 1000.0 select-522222-end
1000 222226 0.0 failed
1000 134466 1000.0 select-1-end
1000 1255 1000.0 select-155-end
1000 1256 1000.0 select-15-end
1000 22366 0.0 failed
1000 145555 1000.0 select-15555-end
1000 145556 1000.0 select-1555-end
1000 33455 1000.0 select-55-end
1000 123566 1000.0 select-15-end
1000 33456 1000.0 select-5-end
1000 445666 1000.0 select-5666-end
1000 12233 1000.0 select-1-end
1000 334444 0.0 failed
1000 245566 1000.0 select-55-end
1000 12234 1000.0 select-1-end
1000 334445 1000.0 select-5444-end
1000 12235 1000.0 select-15-end
1000 334446 0.0 failed
1000 12236 1000.0 select-1-end
1000 45666 1000.0 select-5666-end
1000 2566 1000.0 select-5-end
1000 2255 1000.0 select-55-end
1000 2256 1000.0 select-5-end
1000 23366 0.0 failed
1000 446666 0.0 failed
1000 46666 0.0 failed
1000 3566 1000.0 select-5-end
1000 111555 1000.0 select-555111-end
1000 111556 1000.0 select-55111-end
1000 111244 1000.0 select-111-end
1000 166666 1000.0 select-166666-end
1000 111245 1000.0 select-5111-end
1000 111246 1000.0 select-111-end
1000 233555 1000.0 select-555-end
1000 233556 1000.0 select-55-end
1000 33 0.0 failed
1000 34 0.0 failed
1000 122333 1000.0 select-1333-end
1000 35 1000.0 select-5-end
1000 122334 1000.0 select-1-end
1000 36 0.0 failed
1000 122335 1000.0 select-15-end
1000 11666 1000.0 select-11666-end
1000 122336 1000.0 select-1-end
1000 466 0.0 failed
1000 355555 1000.0 select-55555-end
1000 111 1000.0 select-111-end
1000 355556 1000.0 select-5555-end
1000 112 1000.0 select-11-end
1000 11355 1000.0 select-1155-end
1000 113 1000.0 select-11-end
1000 333566 1000.0 select-5333-end
1000 11356 1000.0 select-115-end
1000 155 1000.0 select-155-end
1000 114 1000.0 select-11-end
1000 156 1000.0 select-15-end
1000 4566 1000.0 select-5-end
1000 115 1000.0 select-115-end
1000 116 1000.0 select-11-end
1000 222344 0.0 failed
1000 222345 1000.0 select-5222-end
1000 222346 0.0 failed
1000 1333 1000.0 select-1333-end
1000 1334 1000.0 select-1-end
1000 22444 0.0 failed
1000 455566 1000.0 select-555-end
1000 112555 1000.0 select-11555-end
1000 1335 1000.0 select-15-end
1000 22445 1000.0 select-5-end
1000 112556 1000.0 select-1155-end
1000 1336 1000.0 select-1-end
1000 22446 0.0 failed
1000 112244 1000.0 select-11-end
1000 112245 1000.0 select-115-end
1000 112246 1000.0 select-11-end
1000 55566 1000.0 select-555-end
1000 234555 1000.0 select-555-end
1000 234556 1000.0 select-55-end
1000 444666 0.0 failed
1000 123333 1000.0 select-13333-end
1000 123334 1000.0 select-1333-end
1000 123335 1000.0 select-15333-end
1000 12666 1000.0 select-1666-end
1000 123336 1000.0 select-1333-end
1000 124455 1000.0 select-155-end
1000 124456 1000.0 select-15-end
1000 12355 1000.0 select-155-end
1000 566666 1000.0 select-566666-end
1000 334566 1000.0 select-5-end
1000 12356 1000.0 select-15-end
1000 5566 1000.0 select-55-end
1000 223344 0.0 failed
1000 223345 1000.0 select-5-end
1000 223346 0.0 failed
1000 2333 0.0 failed
